neighbourhood_cleansed,avg_price
Bayview,$125.70
Bernal Heights,$201.08
Castro/Upper Market,$249.52
Chinatown,$277.41
Crocker Amazon,$115.14
Diamond Heights,$199.59
Downtown/Civic Center,$210.15
Excelsior,$144.09
Financial District,$271.48
Glen Park,$231.83
Golden Gate Park,$235.88
Haight Ashbury,$235.55
Inner Richmond,$230.29
Inner Sunset,$255.05
Lakeshore,$164.94
Marina,$320.95
Mission,$212.03
Nob Hill,$239.51
Noe Valley,$270.63
North Beach,$321.76
Ocean View,$147.69
Outer Mission,$182.69
Outer Richmond,$203.55
Outer Sunset,$164.52
Pacific Heights,$331.10
Parkside,$229.98
Potrero Hill,$326.08
Presidio,$570.67
Presidio Heights,$539.85
Russian Hill,$363.57
Seacliff,$287.00
South of Market,$350.02
Treasure Island/YBI,$91.72
Twin Peaks,$212.09
Visitacion Valley,$134.08
West of Twin Peaks,$204.98
Western Addition,$278.35