neighbourhood_cleansed,avg_weekly
Bayview,$866.84 
Bernal Heights,"$1,188.03 "
Castro/Upper Market,"$1,608.45 "
Chinatown,"$1,709.17 "
Crocker Amazon,$957.75 
Diamond Heights,$967.50 
Downtown/Civic Center,"$1,285.39 "
Excelsior,$788.26 
Financial District,"$1,170.29 "
Glen Park,"$1,567.27 "
Golden Gate Park,$852.67 
Haight Ashbury,"$1,420.10 "
Inner Richmond,"$1,273.69 "
Inner Sunset,"$1,254.18 "
Lakeshore,$698.87 
Marina,"$2,074.42 "
Mission,"$1,199.28 "
Nob Hill,"$1,285.48 "
Noe Valley,"$1,485.26 "
North Beach,"$1,400.83 "
Ocean View,$959.64 
Outer Mission,$890.23 
Outer Richmond,"$1,107.23 "
Outer Sunset,$863.45 
Pacific Heights,"$1,884.85 "
Parkside,"$1,348.69 "
Potrero Hill,"$1,322.48 "
Presidio,"$1,500.00 "
Presidio Heights,"$1,433.13 "
Russian Hill,"$1,758.44 "
Seacliff,"$2,156.60 "
South of Market,"$1,170.28 "
Treasure Island/YBI,$950.00 
Twin Peaks,"$1,271.88 "
Visitacion Valley,$625.71 
West of Twin Peaks,"$1,270.05 "
Western Addition,"$1,288.85 "